# Time-averaged data for fix rdf_avg
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3] c_rdf[4] c_rdf[5] c_rdf[6] c_rdf[7]
1000 100
74 1.8375 0.902229 4.22115 0.864416 5.65822 0.826478 4.21025
75 1.8625 0.903624 4.41712 0.859764 5.84562 0.848798 4.39433
76 1.8875 0.864895 4.60976 0.883666 6.04343 0.927571 4.60093
77 1.9125 0.88848 4.81293 0.887192 6.24732 1.00498 4.83074
78 1.9375 0.943036 5.03425 0.884922 6.45605 0.987819 5.06257
79 1.9625 0.917253 5.25511 0.839565 6.65922 0.942836 5.28959
80 1.9875 0.999239 5.50188 0.928288 6.88962 0.902016 5.51235
81 2.0125 0.975239 5.74882 0.900063 7.11867 0.949174 5.75269
82 2.0375 0.896511 5.9815 0.906232 7.35505 0.962551 6.00251
83 2.0625 1.01975 6.2527 0.88333 7.59116 1.03445 6.27762
84 2.0875 1.04524 6.53746 0.88739 7.83412 1.0469 6.56283
85 2.1125 1.03345 6.82579 0.91348 8.09027 1.06703 6.86053
86 2.1375 1.01495 7.1157 0.884417 8.34416 1.05381 7.16154
87 2.1625 1.06184 7.42614 0.882243 8.60339 1.04682 7.46759
88 2.1875 1.02751 7.73353 0.952543 8.88979 1.14136 7.80904
89 2.2125 1.07569 8.06273 0.993449 9.19534 1.17224 8.16779
90 2.2375 1.10437 8.40839 1.06809 9.53133 1.10434 8.51344
91 2.2625 1.09238 8.75798 1.04603 9.86777 1.16813 8.88727
92 2.2875 1.09251 9.11538 1.02381 10.2044 1.11357 9.25156
93 2.3125 1.12211 9.49053 1.01349 10.5449 1.14415 9.63408
94 2.3375 1.14501 9.88166 0.961229 10.8749 1.09241 10.0072
95 2.3625 1.1046 10.2671 0.982739 11.2196 1.05133 10.3741
96 2.3875 1.17439 10.6856 1.02791 11.5877 0.994405 10.7285
97 2.4125 1.04989 11.0676 0.996993 11.9523 0.961398 11.0783
98 2.4375 1.05536 11.4596 1.00866 12.3289 1.04155 11.4652
99 2.4625 1.01595 11.8448 1.02184 12.7182 1.06308 11.8682
100 2.4875 1.11152 12.2748 1.03512 13.1206 1.04627 12.2729
3000 100
1 0.0125 0 0 0 0 0 0
2 0.0375 0 0 0 0 0 0
3 0.0625 0 0 0 0 0 0
4 0.0875 0 0 0 0 0 0
5 0.1125 0 0 0 0 0 0
6 0.1375 0 0 0 0 0 0
7 0.1625 0 0 0 0 0 0
8 0.1875 0 0 0 0 0 0
9 0.2125 0 0 0 0 0 0
10 0.2375 0 0 0 0 0 0
11 0.2625 0 0 0 0 0 0
12 0.2875 0 0 0 0 0 0
13 0.3125 0 0 0 0 0 0
14 0.3375 0 0 0 0 0 0
15 0.3625 0 0 0 0 0 0
16 0.3875 0 0 0 0 0 0
17 0.4125 0 0 0 0 0 0
18 0.4375 0 0 0 0 0 0
19 0.4625 0 0 0 0 0 0
20 0.4875 0 0 0 0 0 0
21 0.5125 0 0 0 0 0 0
22 0.5375 0 0 0 0 0 0
23 0.5625 0 0 0 0 0 0
24 0.5875 0 0 0 0 0 0
25 0.6125 0 0 0 0 0 0
26 0.6375 0 0 0 0 0 0
27 0.6625 0 0 0 0 0 0
28 0.6875 0 0 0 0 0 0
29 0.7125 0 0 0 0 0 0
30 0.7375 0 0 0 0 0 0
31 0.7625 0 0 0 0 0 0
32 0.7875 0 0 0 0 0 0
33 0.8125 0 0 0 0 0 0
34 0.8375 0 0 0 0 0 0
35 0.8625 0 0 0 0 0 0
36 0.8875 0 0 0 0 0 0
37 0.9125 0 0 0 0 0 0
38 0.9375 0 0 0 0 0 0
39 0.9625 0 0 0 0 0 0
40 0.9875 0 0 0 0 0 0
41 1.0125 0 0 0 0 0 0
42 1.0375 0 0 0 0 0 0
43 1.0625 0.00453387 0.00032 0.0257984 0.00183 0.00297535 0.00021
44 1.0875 0.312279 0.02341 0.726063 0.055785 0.327968 0.02446
45 1.1125 1.16789 0.11378 2.86411 0.27852 1.22579 0.11931
46 1.1375 1.36324 0.22406 3.01906 0.523975 1.34656 0.22824
47 1.1625 1.29566 0.33353 2.73304 0.75605 1.24997 0.33385
48 1.1875 1.36781 0.45412 2.62381 0.988535 1.36951 0.45459
49 1.2125 1.29153 0.57283 2.4974 1.21923 1.28152 0.57238
50 1.2375 1.26818 0.69425 2.3413 1.44452 1.21909 0.6891
51 1.2625 1.2605 0.81986 1.96892 1.64171 1.1726 0.80595
52 1.2875 1.29086 0.95364 1.81687 1.83095 1.2348 0.93392
53 1.3125 1.37066 1.10126 1.64291 2.00878 1.08951 1.05126
54 1.3375 1.17845 1.23306 1.64252 2.19341 1.12051 1.17658
55 1.3625 1.20815 1.37328 1.56754 2.37625 1.17153 1.31255
56 1.3875 1.02883 1.49711 1.48593 2.556 1.03573 1.43721
57 1.4125 0.925636 1.61257 1.40843 2.73256 0.969569 1.55815
58 1.4375 0.850684 1.72247 1.40543 2.91505 0.96385 1.68267
59 1.4625 0.873449 1.83927 1.28413 3.08762 1.09024 1.82846
60 1.4875 0.892409 1.96272 1.18789 3.25277 0.875277 1.94954
61 1.5125 0.88252 2.08894 1.15385 3.41863 0.813859 2.06594
62 1.5375 0.946821 2.22887 1.11185 3.58377 0.951017 2.20649
63 1.5625 1.04243 2.38798 1.16661 3.76274 0.985624 2.35693
64 1.5875 0.967329 2.54039 1.08662 3.9348 0.964409 2.50888
65 1.6125 0.93486 2.69236 0.956995 4.09115 0.854828 2.64784
66 1.6375 0.930693 2.84838 0.966044 4.25391 0.941848 2.80573
